player,position,age,goals,apps,height
Emmanuel Mayuka,Forward,27,58,246,1.78
Fernando Rubén Gago,Midfielder,31,9,412,1.78
Virgil van Dijk,Centre-back,26,19,190,1.93
Vladimir Gadzhev,Midfielder,30,28,241,1.8
Piotr Zieliński,Midfielder,23,7,111,1.8
Geoffrey Scott Cameron,Defender,32,25,334,1.91
Zdravko Kuzmanović,Midfielder,30,32,339,1.86
Julien Escudé,Defender,38,15,416,1.84
Nikola Žigić,Forward,37,228,470,2.02
Clint Dempsey,Forward,35,169,504,1.8542
Willy Boly,Defender,27,8,170,1.91
Luciano Narsingh,Winger,27,36,178,1.78
Eljero George Rinaldo Elia,Midfielder,31,44,328,1.76
Dimitri Payet,Midfielder,30,90,417,1.75
Ezequiel Garay,Defender,31,31,305,1.89
Thorgan Ganael Francis Hazard,Midfielder,24,30,173,1.74
Chris Gunter,Defender,28,4,352,1.8034
Mats Hummels,Defender,29,34,375,1.91
Mauro Icardi,Forward,25,67,135,1.81
Alberto Costa,Midfielder,33,40,327,1.76
Salif Sané,Defender,27,13,160,1.94
Ander Herrera,Midfielder,28,31,275,1.82
Rubén Olivera,Attacking midfielder,34,44,282,1.84
Brayan Perea,Forward,25,14,126,1.89
Marquinhos,Defender,23,6,132,1.83
Nigel Reo-Coker,Midfielder,33,23,433,1.75
Andy Carroll,Forward,29,69,238,1.93
Claudio Ariel Yacob,Midfielder,30,10,283,1.81
Danny Collins,Defender,37,17,433,1.83
Mattia Destro,Forward,26,63,172,1.78
Godsway Donyoh,Winger,23,9,50,1.79
Jeff Hendrick,Midfielder,26,27,215,1.85
Philippe Coutinho Correia,Midfielder,25,44,211,1.71
Marat Nailevich Izmailov,Midfielder,35,39,310,1.7
Obafemi Martins,Forward,33,135,369,1.7
Georges Constant Mandjeck,Midfielder,29,2,190,1.83
Daniel Alves da Silva,Defender,34,35,554,1.72
Sebastian Boenisch,Defender,31,5,173,1.91
Steven Fletcher,Forward,30,106,382,1.86
Daniel Caligiuri,Winger,30,43,243,1.82
Aaron Cresswell,Defender,28,15,278,1.7018
Dieumerci Mbokani,Forward,32,202,338,1.85
James McCarthy,Midfielder,27,28,315,1.8034
Daniel Van Buyten,Defender,40,58,468,1.97
Daniel Filipe Martins Carriço,Defender,29,8,209,1.82
Vágner Love,Forward,33,179,370,1.72
Ibrahim Sissoko,Midfielder,26,12,137,1.77
Ishak Belfodil,Forward,26,28,151,1.92
Marco Borriello,Forward,35,93,334,1.85
Ben Marshall,Defender,26,33,268,1.8288
Stephen Dobbie,Forward,35,92,303,1.7272
Dwight Gayle,Forward,27,75,164,1.7526
Mattia Perin,Goalkeeper,25,0,174,1.88
Rory John Delap,Midfielder,41,34,521,1.8288
Jeffrén,Midfielder,30,34,221,1.76
Henrikh Mkhitaryan,Midfielder,29,114,295,1.78
Dries Mertens,Midfielder,30,120,404,1.69
Hernanes,Midfielder,32,68,350,1.8
Oliver John Bozanic,Midfielder,29,19,232,1.77
Domenico Berardi,Forward,23,55,150,1.83
Pejman Montazeri,Defender,34,20,394,1.84
Thomas Vermaelen,Defender,32,24,258,1.83
Daniel Schwaab,Defender,29,8,315,1.86
Lucas Rodrigues Moura da Silva,Winger,25,54,244,1.72
Robert Acquafresca,Forward,30,60,277,1.84
Alberto Tomás Botía Rabasco,Defender,29,12,265,1.88
Yacine Brahimi,Winger,28,34,209,1.75
Massimo Ambrosini,Defensive midfielder,40,36,492,1.82
Ashley Cole,Defender,37,18,539,1.76
Gareth Frank Bale,Midfielder,28,101,286,1.83
Dirk Jan Klaas Huntelaar,Forward,34,291,491,1.86
Scott Andrew Sinclair,Midfielder,28,52,227,1.778
Sarkis Grachyayevich Baloyan,Striker,25,16,56,1.8
Sokratis Papastathopoulos,Defender,29,14,295,1.86
Abdelaziz Barrada,Midfielder,28,37,242,1.79
Cristiano Ronaldo dos Santos Aveiro,Forward,33,362,485,1.85
Nahki Wells,Forward,27,87,226,1.7
Javier Alejandro Mascherano,Defender,33,5,511,1.74
Anthony Modeste,Forward,29,98,284,1.86
Andriy Mykolayovych Yarmolenko,Forward,28,132,344,1.89
Mohamed Lamine Sissoko Gillan,Midfielder,33,9,275,1.91
Anthony Annan,Midfielder,31,3,207,1.75
Arouna Koné,Forward,34,120,378,1.81
Wayne Rooney,Midfielder,32,203,460,1.76
Haris Seferović,Forward,26,47,155,1.85
Sam Byram,Defender,25,9,138,1.8288
Kevin Strootman,Midfielder,28,29,238,1.87
Álvaro Negredo Sánchez,Forward,32,183,442,1.86
Ashley Darel Jazz Richards,Defender,26,0,139,1.7272
Pedro Tonon Geromel,Defender,32,6,297,1.9
David Henen,Forward,21,9,26,1.85
Mario Erb,Defender,27,11,163,1.86
Ignazio Abate,Defender,31,8,330,1.8
Joselu,Forward,27,78,238,1.91
Shaun Maloney,Midfielder,35,77,374,1.7
Muamer Svraka,Midfielder,30,44,173,1.8
Jimmy Briand,Midfielder,32,109,437,1.81
Ryan Shawcross,Defender,30,22,329,1.91
Dedryck Boyata,Defender,27,7,83,1.88
Alessio Cerci,Midfielder,30,54,255,1.78
Yohan Cabaye,Midfielder,32,63,423,1.75
Jeroen Lumu,Forward,22,12,80,1.78
Brandon Fernandes,Midfielder,23,5,18,0
Fernandinho,Defender,36,30,250,1.72
Kevin Antonio Joel Gislain Mirallas y Castillo,Midfielder,30,89,326,1.82
Aurélien Chedjou,Defender,32,20,282,1.84
Enzo Maresca,Midfielder,38,50,396,1.8
Joan Verdú,Midfielder,34,82,456,1.78
John Verhoek,Forward,28,43,198,1.88
Óliver Torres Muñoz,Midfielder,23,12,116,1.74
Sébastien Bassong,Defender,31,7,296,1.87
Sébastien Squillaci,Defender,37,29,479,1.83
Héctor Miguel Herrera López,Midfielder,27,24,198,1.8
Jonathan Simon Woodgate,Defender,38,9,319,1.88
David Luiz Moreira Marinho,Defender,30,17,306,1.89
Mike van der Hoorn,Centre-back,25,11,120,1.9
Jordy Clasie,Midfielder,26,11,215,1.69
Emmanuel Frimpong,Midfielder,26,1,73,1.78
Hélder Jorge Leal Rodrigues Barbosa,Midfielder,30,43,300,1.72
Julian Schauerte,Defender,29,10,282,0
Johan Danon Djourou-Gbadjere,Defender,31,4,209,1.92
Aiden McGeady,Midfielder,31,46,321,1.8
Peter James Crouch,Forward,37,155,564,2.0066
Loukas Vyntra,Defender,37,19,502,1.84
Ibrahima Traoré,Midfielder,29,39,266,1.72
Marc Muniesa,Defender,25,4,150,1.79
Maya Yoshida,Centre back,29,23,278,1.89
Attila Filkor,Midfielder,29,6,161,1.81
Darius Henderson,Striker,36,128,443,1.9304
Jonas Olsson,Defender,35,23,430,1.95
Rubén García,Midfielder,24,12,136,1.71
Marco Andreolli,Defender,31,5,154,1.87
Sergio Araujo Genio,Forward,26,55,174,1.8
Gordon Schildenfeld,Defender,32,12,361,1.91
Moussa Sow,Forward,32,129,331,1.8
Amine Linganzi,Midfielder,28,1,57,1.8796
Derek Boateng,Midfielder,34,34,394,1.8288
Nigel de Jong,Midfielder,33,20,454,1.74
Omar Abdulrahman,Midfielder,26,35,180,1.73
Bernard Malanda-Adje,Midfielder,23,9,113,1.81
Kyle Walker,Right-back,27,5,265,1.78
Jeffrey Kevin van Homoet Bruma,Defender,26,12,180,1.89
Balázs Megyeri,Goalkeeper,27,0,84,1.88
Víctor Valdés,Goalkeeper,36,0,506,1.83
Diego da Silva Costa,Forward,29,125,306,1.88
André Santos,Defender,35,50,322,1.8
Danijel Pranjić,Defender,36,56,468,1.71
Ronny Garbuschewski,Midfielder,32,49,270,1.77
Gianluca Sansone,Forward,30,76,310,1.73
Marc Schnatterer,Attacking Midfielder,32,97,385,0
Mathieu Bodmer,Midfielder,35,42,416,1.9
Lorenzo Melgarejo,Midfielder,27,45,172,1.78
Oussama Assaidi,Midfielder,29,39,195,1.72
Miguel Veloso,Midfielder,31,23,293,1.8
Anass Achahbar,Forward,24,33,87,1.71
Grzegorz Fonfara,Defender,34,22,288,1.76
Luke Paul Hoare Shaw,Left-back,22,1,106,1.85
Xabi Alonso,Midfielder,36,50,650,1.83
Maksym Anatoliyovych Koval,Goalkeeper,25,0,121,1.9
Stéphane Ruffier,Goalkeeper,31,0,352,1.87
Hugo Armando Campagnaro,Defender,37,21,450,1.81
Alou Diarra,Midfielder,36,29,477,1.9
Rob Hulse,Forward,38,123,395,1.87
Tom Weilandt,Midfielder,25,23,129,1.87
Rod Fanni,Defender,36,10,467,1.86
Eyong Tarkang Enoh,Midfielder,31,12,284,1.76
Valon Behrami,Midfielder,32,13,394,1.85
Erik Pieters,Defender,29,4,280,1.84
Benjamin Köhler,Midfielder,37,52,346,1.72
Francisco Jiménez Tejada,Forward,31,119,308,1.88
Duvier Riascos,Forward,31,68,210,1.8
Nick Proschwitz,Forward,31,92,278,1.92
Taison,Attacking midfielder,30,35,194,1.72
Gökhan Töre,Left winger,26,16,149,1.76
Luis Fernando Garrido,Midfielder,27,0,166,1.68
Simon Richard Cox,Forward,30,84,329,1.8
Vicente Guaita,Goalkeeper,31,0,222,1.9
Simon Zoller,Forward,26,56,175,1.79
Jérémy Mathieu,Defender,34,26,367,1.89
Alan Hutton,Defender,33,5,329,1.85
Jamie Ness,Midfielder,27,5,108,1.87
Marlon King,Forward,37,174,493,1.8542
Francesco Lodi,Midfielder,33,93,412,1.83
Colin Kazim-Richards,Forward,31,44,368,1.85
Omar Kossoko,Forward,30,21,128,1.86
Sergi Canos Tenés,Midfielder,21,12,54,1.75
Leigh Griffiths,Forward,27,145,278,1.524
Michael Sheehan Bradley,Midfielder,30,39,335,1.8542
Jelle Vossen,Forward,28,110,297,1.8
Arturo Erasmo Vidal Pardo,Midfielder,30,84,411,1.8
Julian Draxler,Attacking Midfielder,24,27,157,1.87
Yura Movsisyan,Forward,30,99,281,1.85
Daniel Parejo Muñoz,Midfielder,28,54,304,1.82
Filip Hološko,Forward,34,108,390,1.85
Lucas Orbán,Defender,29,2,118,1.84
Markus Rosenberg,Forward,35,124,423,1.84
Lamine Diarra,Forward,34,113,274,1.75
Medó,Midfielder,30,20,280,1.74
Felix Wiedwald,Goalkeeper,27,0,135,1.9
Igor Denisov,Midfielder,33,24,376,1.76
Vito Mannone,Goalkeeper,30,0,113,1.88
Nelson Valdez,Forward,34,114,479,1.78
Roberto Lago,Defender,32,10,333,1.78
Cléber Santana,Midfielder,36,51,402,1.87
Carl Daniel Jenkinson,Right-back,26,4,116,1.85
Carlo Cudicini,Goalkeeper,44,0,254,1.85
Daniel Pacheco,Midfielder,27,19,145,1.69
Jeffrey Schlupp,Winger,25,17,144,1.78
Davide Santon,Defender,27,5,173,1.86
Adam James Hammill,Midfielder,30,27,284,1.8
Luis Fariña,Midfielder,26,11,109,1.76
Marco Verratti,Midfielder,25,5,198,1.65
Ron Peter Vlaar,Defender,33,12,294,1.89
John William Robinson,Goalkeeper,147,0,395,1.8034
Karim El Ahmadi,Midfielder,33,17,338,0
Lucas Nahuel Castro,Midfielder,28,26,198,1.82
Demy Patrick René de Zeeuw,Midfielder,34,37,343,1.74
İlkay Gündoğan,Midfielder,27,18,175,1.8
Marvin Zeegelaar,Defender,27,4,110,1.86
Taras Burlak,Defender,28,4,133,1.91
Albert Manteca Buldo,Forward,29,19,146,1.84
David Michael Bentley,Midfielder,33,21,217,1.73
Chris David,Midfield,25,5,50,1.7
Sandro Gotal,Forward,26,39,155,1.85
Barry Gordon George Robson,Midfielder,39,88,547,1.8
Nicolás Otamendi,Defender,30,18,233,1.83
Lacina Traoré Panton,Forward,27,77,208,2.03
David de Gea,Goalkeeper,27,2,307,1.92
Benjamin Mendy,Left back,23,5,180,1.85
Saber Khalifa,Forward,31,83,262,1.83
Cheikhou Kouyaté,Defender,28,20,287,1.92
Konstantinos Mitroglou,Forward,30,134,305,1.88
Liam Trotter,Midfielder,29,33,262,1.8796
Mahmoud Abdel Razek Fadlallah,Midfielder,32,69,332,1.83
Joël Ivo Veltman,Defender,26,10,120,1.82
Sven Bender,Midfielder,28,11,266,1.86
Papy Mison Djilobodji,Defender,29,12,213,1.92
Loris Arnaud,Winger,30,10,97,1.84
Bruno Pereirinha,Midfielder,30,5,195,1.73
Jonathan Soriano,Forward,32,238,392,1.8
Robert Tesche,Midfielder,30,20,230,1.8
Marcin Burkhardt,Midfielder,34,32,296,1.88
Dávid Holman,Midfielder,24,14,79,1.88
Diego Poyet,Midfielder,22,0,69,1.8
Patrice Evra,Defender,36,16,599,1.74
Darío Cvitanich,Forward,33,111,284,1.72
Ouasim Bouy,Midfielder,24,10,90,1.8
Darryl Lachman,Defender,28,3,145,1.89
Facundo Parra,Forward,32,81,328,1.84
Kenneth Omeruo,Defender,24,3,142,1.85
Mateo Musacchio,Defender,27,11,226,1.82
Kelle Willem Roos,Goalkeeper,25,0,43,1.96
Mikael Ishak,Forward,24,64,205,1.83
Stefan Hierländer,Midfield,27,15,186,1.8
Roberto Firmino Barbosa de Oliveira,Forward,26,64,228,1.81
Macauley Chrisantus,Forward,27,58,191,1.83
Stuart Armstrong,Midfielder,25,30,197,1.83
Elliot Grandin,Winger,30,24,159,1.78
Panagiotis Vlachodimos,Midfielder,26,17,100,1.84
Godfred Donsah,Midfielder,21,4,46,1.75
Virgil Roy Misidjan,Midfielder,24,32,136,1.73
Papiss Demba Cissé,Forward,32,174,388,1.85
Eren Derdiyok,Forward,29,99,317,1.91
Valon Berisha,Midfielder,25,38,223,1.78
Siem de Jong,Forward,29,64,209,1.85
Mohamed Salah,Winger,25,79,220,1.75
Jérémy Morel,Defender,33,14,385,1.73
Ayoze,Defender,32,34,350,1.72
Lukas Königshofer,Goalkeeper,28,0,113,1.93
Enzo Nicolás Pérez Seguí,Midfielder,32,36,336,1.77
Jonathan Schmid,Midfielder,27,36,194,1.79
Iago Bouzón Amoedo,Defender,34,6,305,1.82
Raúl Albiol,Defender,32,11,389,1.9
Darko Tasevski,Attacking midfielder,33,57,397,1.84
Jesús Gámez Duarte,Defender,32,4,335,1.82
Paul Madiba,Winger,25,40,155,1.8
Toni Kroos,Midfielder,28,53,311,1.82
Michy Batshuayi,Striker,24,76,184,1.82
Tim Klaus Hoogland,Midfield,32,29,235,1.83
Kevin Großkreutz,Defender,29,49,292,1.86
William Kvist,Midfielder,33,12,349,1.83
José Ángel Gómez Campaña,Midfielder,24,9,152,1.79
Bright Edomwonyi,Striker,23,18,72,1.83
Emil Noll,Defender,39,19,232,1.94
Christopher Schindler,Defender,27,9,206,1.88
Caleb Patterson-Sewell,Goalkeeper,30,0,85,1.905
Faouzi Ghoulam,Defender,27,6,182,1.88
柿谷 曜一朗,Forward,28,71,283,1.77
Atdhe Nuhiu,Forward,28,67,332,1.97
Rafa Silva,Midfielder,24,26,156,1.7
Simon Makienok,Striker,27,66,202,2.0066
Serge Aurier,Defender,25,10,184,1.75
Harry Edward Kane,Forward,24,74,164,1.88
Francisco Alcácer García,Forward,24,94,200,1.76
Samuel Radlinger,Goalkeeper,25,0,120,1.98
Loris Benito Souto,Defender,26,3,92,1.84
Lee Tomlin,Forward,29,97,411,1.8034
Albert Baning,Midfielder,32,12,171,1.93
Kamohelo Mokotjo,Defensive midfielder,27,6,164,1.7
Dominik Furman,Midfielder,25,9,95,1.81
Abdisalam Abdulkadir Ibrahim,Defender,26,10,112,1.8542
Daley Blind,Defender,28,9,204,1.8
Ben Payal,Winger,29,0,251,0
Prejuce Nakoulma,Winger,30,64,272,1.78
Lukas Hinterseer,Forward,26,54,191,1.92
Kasper Peter Schmeichel,Goalkeeper,31,0,391,1.89
Louis Schaub,Attacking midfielder,23,28,154,1.77
Juan Mata,Midfielder,29,99,360,1.7
Simone Grippo,Defender,29,12,198,1.89
Maxime Gonalons,Midfielder,29,7,232,1.87
Bernardo Vasconcelos,Forward,38,98,244,1.87
Shkodran Mustafi,Defender,25,13,151,1.84
Nikita Vadimovich Rukavytsya,Midfielder,30,49,229,1.83
Warner Hahn,Goalkeeper,25,0,108,1.98
Saúl Ñíguez Esclápez,Midfielder,23,22,178,1.84
Carlos Adriano de Souza Vieira,Midfielder,40,43,265,1.72
Moses Odubajo,Defender,24,19,192,1.77
Péter Gulácsi,Goalkeeper,27,0,168,1.91
Koke,Midfielder,26,28,290,1.78
Lukas Rupp,Attacking midfielder,27,23,165,1.8
Idir Ouali,Midfielder,29,29,199,1.76
Martyn  Waghorn,Forward,28,56,208,1.778
Tamás Priskin,Forward,31,108,382,1.85
André Schembri,Forward,31,120,427,1.78
Benjamin Corgnet,Midfielder,30,25,159,1.8
Saido Berahino,Forward,24,46,155,1.8
Marco van Ginkel,Midfielder,25,31,174,1.86
Jakub Kosecki,Midfielder,27,28,124,1.68
Lucas Piazon,Winger,24,37,114,1.82
Morgan Schneiderlin,Midfielder,28,20,315,1.85
Ciro Immobile,Forward,28,84,220,1.85
Aaron James Ramsey,Midfielder,27,45,286,1.524
Juhani Ojala,Centre back,28,2,126,1.91
Hugo Miguel Pereira de Almeida,Forward,33,153,431,1.91
Dani Schahin,Forward,28,43,176,1.87
Kevin Volland,Forward,25,66,219,1.79
Alex McCarthy,Goalkeeper,28,0,154,1.9304
Gaby Mudingayi,Midfielder,36,5,373,1.8
Antoine Griezmann,Forward,26,102,286,1.75
Michael Petrasso,Winger,22,12,59,1.68
Ádám Vass,Midfielder,29,6,242,1.8
Manuel Weber,Midfielder,32,22,304,1.82
Tunay Torun,Forward,27,44,201,1.76
Stjepan Vuleta,Forward,24,26,85,1.84
Pape N'Diaye Souaré,Defender,27,11,203,1.78
Massimo Bruno,Midfielder,24,30,154,1.78
Mike Frantz,Midfielder,31,48,282,1.8
Ademilson Braga Bispo Junior,Forward,24,32,137,1.79
Raheem Lawal,Midfielder,27,10,157,1.85
Danilo D'Ambrosio,Defender,29,17,242,1.8
Carlos Hernández,Midfielder,35,86,317,1.7
Cheikh M'Bengue,Defender,29,2,256,1.82
Daniel Bachmann,Goalkeeper,23,0,32,1.91
Loïc Négo,Midfielder,27,10,108,1.81
Raul Meireles,Midfielder,34,41,451,1.79
Anders Lindegaard,Goalkeeper,33,0,119,1.93
Boubacar Sanogo,Forward,35,172,414,1.88
Zlatan Ibrahimović,Forward,36,375,619,1.95
Hélio Roque,Midfielder,32,40,245,1.74
Gustav Valsvik,Defender,24,8,168,1.95
Liban Abdi,Midfielder,29,11,98,1.82
Didier Ya Konan,Forward,34,86,319,1.74
Cimo Patric Röcker,Defender,24,3,56,0
Craig Gardner,Midfielder,31,33,269,1.778
Aaron Hunt,Midfielder,31,67,315,1.83
Karen Muradyan,Midfielder,25,2,79,1.82
Maximilian Arnold,Midfielder,23,19,124,1.84
Caiuby,Forward,29,39,212,1.84
Ivan Cavaleiro,Forward,24,32,152,1.75
Jeroen Zoet,Goalkeeper,27,0,216,1.89
Balázs Dzsudzsák,Midfielder,31,100,381,1.79
Kevin Trappo,Goalkeeper,27,0,218,1.89
Gordan Bunoza,Defender,30,4,157,1.95
Matthew Kilgallon,Defender,34,9,289,1.8796
Marius Silviu Alexe,Midfielder,28,55,217,1.86
Luca Caldirola,Defender,27,2,166,1.89
Carlton Michael George Cole,Forward,34,73,369,1.905
Andriy Tkachuk,Midfielder,30,19,224,1.81
Rok Elsner,Defensive midfielder,32,12,257,1.86
Gabriel Cichero,Defender,33,17,273,1.86
Timo Horn,Goalkeeper,24,0,182,1.92
Adrien Rabiot,Midfielder,22,8,113,1.88
Ryan Bertrand,Defender,28,4,273,1.79
Benedikt Röcker,Defender,28,10,206,1.97
Stephan Andrist,Midfielder,30,27,176,1.76
José María Basanta,Defender,33,15,356,1.88
John Obi Mikel,Midfielder,30,7,334,1.88
Jan Kristiansen,Midfielder,36,75,494,1.8
Philipp Hofmann,Forward,24,47,161,1.94
Valmir Berisha,Forward,21,18,36,1.79
Mike Hanke,Forward,34,106,360,1.85
Adrien Sébastien Perruchet Silva,Midfielder,28,34,206,1.75
Guillermo Molins,Forward,29,38,186,1.86
Santiago Vergini,Defender,29,5,199,1.91
Roel Brouwers,Defender,36,23,289,1.9
Micah Lincoln Richards,Defender,29,10,233,1.8034
David Nii Addy,Left back,28,5,161,1.83
Boukary Dramé,Defender,32,4,175,1.81
Michael Mancienne,Defender,30,3,261,1.8288
Julian Brandt,Midfielder,21,24,97,1.85
Ryad Boudebouz,Midfielder,28,35,284,1.77
Modibo Maïga,Forward,30,83,334,1.85
Hany Mukhtar,Midfielder,22,16,76,1.74
do Nascimento,Midfielder,30,42,338,1.8
Remko Pasveer,Goalkeeper,34,0,233,1.87
Thievy Guivane Bifouma Koulossa,Forward,25,38,158,1.8
Sergio Romero,Goalkeeper,31,0,279,1.92
Lars Unnerstall,Goalkeeper,27,0,116,1.98
Marcin Robak,Striker,35,134,321,1.84
Eduardo,Forward,35,177,375,1.78
Graziano Pellè,Forward,32,118,346,1.94
Bradley Edwin Guzan,Goalkeeper,33,0,310,1.9304
Josuha Guilavogui,Midfielder,27,13,196,1.87
Musa Auwal Yahaya,Midfielder,20,8,16,1.7
Giannis Maniatis,Defensive midfielder,31,21,380,1.78
Ashkan Dejagah,Midfielder,31,64,327,1.81
Marco Stiepermann,Midfielder,27,33,217,1.9
Fin Bartels,Midfielder,31,58,322,1.75
John Robert Brayford,Defender,30,15,366,1.8288
Luis Antonio Valencia Mosquera,Defender,32,41,451,1.524
José Callejón,Midfielder,31,78,316,1.78
Graham Dorrans,Midfielder,30,46,301,1.79
Scott Hogan,Forward,25,65,133,1.8
Paolo De Ceglie,Defender,31,8,176,1.84
Kortney Hause,Defender,22,5,95,1.89
Andreas Bødtker Christensen,Defender,21,8,61,1.88
Johan Erik Calvin Elmander,Forward,36,132,557,1.88
Povilas Leimonas,Defender,30,11,191,1.85
Vincenzo Grifo,Midfielder,24,32,114,1.81
Maik Franz,Defender,36,18,283,1.9
Cristian Molinaro,Defender,34,4,372,1.82
Cephas Malele,Forward,24,16,96,1.85
Robert Žulj,Forward,26,44,179,0
Martin Harnik,Forward,30,97,301,1.85
Luiz Gustavo,Midfielder,30,20,321,1.88
Phillip Anthony Bardsley,Defender,32,8,282,1.8
Nélson Oliveira,Forward,26,41,191,1.86
Innocent Nkasiobi Emeghara,Forward,28,74,231,1.72
Maxime Lestienne,Midfielder,25,45,184,1.76
Samuele Longo,Forward,26,10,102,1.85
Gabriel Andrei Torje,Midfielder,28,53,360,1.67
Sebastian Jung,Defender,27,5,243,1.79
Rúben Micael,Midfielder,31,28,312,1.75
Romain Alessandrini,Winger,28,52,198,1.73
Manuel Lanzini,Midfielder,25,31,171,1.67
Tom Cleverley,Midfielder,28,27,207,1.75
Joseph Anthony Barton,Midfielder,35,33,375,1.7526
Andrew Johnson,Forward,37,114,398,1.7526
Dmitri Evgenyevich Torbinski,Midfielder,33,20,269,1.76
Antonio Rüdiger,Defender,25,12,141,1.91
Diego Alves Carreira,Goalkeeper,32,0,288,1.87
Kagisho Evidence Dikgacoi,Midfielder,33,17,290,1.8
Rony Lopes,Midfielder,22,12,61,1.74
Reto Ziegler,Defender,32,9,345,1.83
Henri Bedimo,Defender,33,8,357,1.8
Sone Aluko,Forward,29,37,233,1.7272
Peter Gelson,Centre back,76,17,471,0
Fraser Gerard Forster,Goalkeeper,29,0,249,2.01
Tomer Hemed,Forward,30,79,345,1.83
Phil Ofosu-Ayeh,Defender,26,5,174,1.83
Siphiwe Tshabalala,Midfielder,33,84,389,1.7
Shinji Okazaki,Forward,31,134,403,1.74
Edson Braafheid,Defender,34,5,281,1.76
Maciej Jankowski,Striker,28,46,213,1.81
Danilo,Goalkeeper,32,0,77,1.85
Chuba Amechi Akpom,Striker,22,14,85,1.83
Ciprian Andrei Marica,Forward,32,80,343,1.85
Pierre-Michel Lasogga,Centre-forward,26,54,160,1.89
Munir El Haddadi Mohamed,Forward,22,28,79,1.75
Stefan Marius Johansen,Midfielder,27,28,196,1.82
Marin Leovac,Defender,29,6,190,1.8
Alain Rochat,Full-back,35,26,415,1.8034
Dani Quintana,Midfielder,27,48,237,1.7
Raúl García,Midfielder,31,62,408,1.84
Florian Hartherz,Defender,24,2,105,1.84
Kévin Mickael Junior Gomis,Defender,29,2,127,1.86
Emmanuel Adebayor,Forward,34,166,439,1.91
Duván Zapata,Forward,26,47,143,1.86
Per Ciljan Skjelbred,Midfielder,30,12,310,1.76
Mohammed Rabiu,Defensive midfielder,28,5,157,1.88
Sergi Samper,Midfielder,23,2,123,1.81
Juan Bernat,Defender,25,12,144,1.72
Habib Habibou,Striker,30,73,222,1.92
Diego Armando Valentin Contento,Defender,27,4,146,1.77
Philippe Senderos,Defender,33,14,252,1.9
Javi Guerra,Forward,35,176,447,1.81
Divock Okoth Origi,Forward,22,22,118,1.85
Antonio Amaya,Defender,34,10,290,1.92
Bryan Cristante,Midfielder,23,4,38,1.86
Arnaldo Antonio Sanabria Ayala,Forward,22,20,71,1.81
Dawid Kownacki,Forward,20,28,87,1.85
Leon Andreasen,Defender,34,40,288,1.88
Marvin Bakalorz,Midfielder,28,18,202,1.8
Silvestre Varela,Midfielder,33,70,350,1.8
Gaël Givet,Defender,36,13,429,1.81
Jack Hunt,Defender,27,0,215,1.7526
Michele Polverino,Midfielder,33,18,348,1.76
Lee Barry Cattermole,Defensive midfielder,29,6,248,1.78
Ravel Ryan Morrison,Midfielder,25,13,76,1.7526
Hervé Tchami,Midfielder,30,14,145,1.75
Roman Bürki,Goalkeeper,27,0,208,1.87
Dele Alli,Midfielder,21,35,130,1.88
Victor Vinícius Coelho dos Santos,Attacking Midfielder,24,20,84,1.78
Gonzalo Alejandro Jara Reyes,Defender,32,8,389,1.78
Rafael van der Vaart,Midfielder,35,143,427,1.76
Daniel Bessa,Midfielder,25,4,74,1.73
Didier Frédéric Digard,Midfielder,31,7,277,1.83
Timo Werner,Forward,22,38,127,1.8
Aleksei Sergeyevich Ionov,Midfielder,29,34,213,1.77
Serdar Tasci,Centre-back,30,14,266,1.86
Liam Simon Moore,Centre back,25,2,120,1.85
Marcin Wasilewski,Defender,37,40,466,1.86
Roman Bezjak,Forward,29,84,236,1.79
Bastian Oczipka,Defender,29,2,188,1.84
Nils Ola Toivonen,Forward,31,127,362,1.89
Dean Whitehead,Defender,36,26,532,1.8034
Timo Perthel,Defender,29,11,201,1.83
Christopher Wernitznig,Midfielder,28,51,261,0
Sekou Cissé,Striker,32,61,280,1.84
Matthew Ryan Macey,Goalkeeper,23,0,4,2
Lamine Sané,Defender,30,8,238,1.92
Ola Williams Kamara,Striker,28,75,221,1.84
Liam Lawrence,Midfielder,36,89,514,1.8
Javier Matías Pastore,Midfielder,28,49,276,1.87
Eric Hassli,Forward,36,77,318,1.93
Todor Nedelev,Midfielder,25,33,115,1.76
Calum Chambers,Defender,23,7,97,1.83
Adrián Ramos,Forward,32,112,351,1.85
Tomás Eduardo Rincón Hernández,Midfielder,30,7,310,1.75
Ricardo Vaz Tê,Forward,31,47,213,1.8796
Thomas Kraft,Goalkeeper,29,0,249,1.87
大迫 勇也,Forward,27,55,227,1.82
João Aurélio,Midfielder,29,12,232,1.85
Kader Mangane,Defender,34,40,407,1.93
Jakub Sylvestr,Forward,29,63,261,1.78
Jiloan Hamad,Midfielder,27,41,230,1.73
Ola John,Midfielder,25,21,165,1.8
Guilherme Costa Marques,Midfielder,26,9,93,1.74
Georg Teigl,Defender,27,16,176,1.83
Thomas Meunier,Defender,26,32,226,1.9
Kevin Kampl,Midfielder,27,33,235,1.78
Álvaro Borja Morata Martín,Forward,25,87,212,1.89
Amadou Jawo,Forward,33,45,228,1.75
David Degen,Midfielder,35,39,289,1.83
Matthias Ginter,Defender,24,7,133,1.9
Bacary Sagna,Defender,35,8,458,1.76
Jürgen Locadia,Forward,24,45,124,1.85
Fábio Alexandre da Silva Coentrão,Defender,30,27,202,1.79
